date,region,rainfall,rain_intensity,planting_time
1-Jan-15,"Kolombo, Sleman",312,23,BAIK
1-Feb-15,"Kolombo, Sleman",252,17,BAIK
1-Mar-15,"Kolombo, Sleman",211,23,BURUK
1-Apr-15,"Kolombo, Sleman",220,19,BURUK
1-May-15,"Kolombo, Sleman",78,10,BURUK
1-Jun-15,"Kolombo, Sleman",5,3,BURUK
1-Jul-15,"Kolombo, Sleman",0,0,BURUK
1-Aug-15,"Kolombo, Sleman",0,0,BURUK
1-Sep-15,"Kolombo, Sleman",0,0,BURUK
1-Oct-15,"Kolombo, Sleman",0,0,BURUK
1-Nov-15,"Kolombo, Sleman",106,13,BURUK
1-Dec-15,"Kolombo, Sleman",459,19,BAIK
1-Jan-16,"Kolombo, Sleman",93,19,BURUK
1-Feb-16,"Kolombo, Sleman",590,24,BAIK
1-Mar-16,"Kolombo, Sleman",252,21,BAIK
1-Apr-16,"Kolombo, Sleman",78,15,BURUK
1-May-16,"Kolombo, Sleman",40,14,BURUK
1-Jun-16,"Kolombo, Sleman",184,13,BURUK
1-Jul-16,"Kolombo, Sleman",69,13,BURUK
1-Aug-16,"Kolombo, Sleman",30,12,BURUK
1-Sep-16,"Kolombo, Sleman",173,18,BURUK
1-Oct-16,"Kolombo, Sleman",275,19,BAIK
1-Nov-16,"Kolombo, Sleman",342,24,BAIK
1-Dec-16,"Kolombo, Sleman",305,22,BAIK
1-Jan-17,"Kolombo, Sleman",198,25,BURUK
1-Feb-17,"Kolombo, Sleman",149,24,BURUK
1-Mar-17,"Kolombo, Sleman",141,21,BURUK
1-Apr-17,"Kolombo, Sleman",101,23,BURUK
1-May-17,"Kolombo, Sleman",31,9,BURUK
1-Jun-17,"Kolombo, Sleman",27,5,BURUK
1-Jul-17,"Kolombo, Sleman",6,5,BURUK
1-Aug-17,"Kolombo, Sleman",0,0,BURUK
1-Sep-17,"Kolombo, Sleman",83,5,BURUK
1-Oct-17,"Kolombo, Sleman",54,15,BURUK
1-Nov-17,"Kolombo, Sleman",442,24,BAIK
1-Dec-17,"Kolombo, Sleman",159,19,BURUK
1-Jan-18,"Kolombo, Sleman",277,27,BAIK
1-Feb-18,"Kolombo, Sleman",83,19,BURUK
1-Mar-18,"Kolombo, Sleman",126,17,BURUK
1-Apr-18,"Kolombo, Sleman",32,12,BURUK
1-May-18,"Kolombo, Sleman",25,6,BURUK
1-Jun-18,"Kolombo, Sleman",8,2,BURUK
1-Jul-18,"Kolombo, Sleman",0,0,BURUK
1-Aug-18,"Kolombo, Sleman",0,0,BURUK
1-Sep-18,"Kolombo, Sleman",5,4,BURUK
1-Oct-18,"Kolombo, Sleman",1,2,BURUK
1-Nov-18,"Kolombo, Sleman",318,12,BAIK
1-Dec-18,"Kolombo, Sleman",264,18,BAIK
1-Jan-19,"Kolombo, Sleman",284,26,BAIK
1-Feb-19,"Kolombo, Sleman",208,19,BURUK
1-Mar-19,"Kolombo, Sleman",393,22,BAIK
1-Apr-19,"Kolombo, Sleman",107,14,BURUK
1-May-19,"Kolombo, Sleman",13,6,BURUK
1-Jun-19,"Kolombo, Sleman",0,0,BURUK
1-Jul-19,"Kolombo, Sleman",0,1,BURUK
1-Aug-19,"Kolombo, Sleman",1,1,BURUK
1-Sep-19,"Kolombo, Sleman",0,0,BURUK
1-Oct-19,"Kolombo, Sleman",0,0,BURUK
1-Nov-19,"Kolombo, Sleman",34,9,BURUK
1-Dec-19,"Kolombo, Sleman",125,26,BURUK
1-Jan-15,"Maguwoharo, Sleman",395,22,BAIK
1-Feb-15,"Maguwoharo, Sleman",415,13,BAIK
1-Mar-15,"Maguwoharo, Sleman",444,15,BAIK
1-Apr-15,"Maguwoharo, Sleman",433,15,BAIK
1-May-15,"Maguwoharo, Sleman",212,5,BURUK
1-Jun-15,"Maguwoharo, Sleman",45,1,BURUK
1-Jul-15,"Maguwoharo, Sleman",0,0,BURUK
1-Aug-15,"Maguwoharo, Sleman",0,0,BURUK
1-Sep-15,"Maguwoharo, Sleman",0,0,BURUK
1-Oct-15,"Maguwoharo, Sleman",0,0,BURUK
1-Nov-15,"Maguwoharo, Sleman",106,8,BURUK
1-Dec-15,"Maguwoharo, Sleman",421,16,BAIK
1-Jan-16,"Maguwoharo, Sleman",180,13,BURUK
1-Feb-16,"Maguwoharo, Sleman",583,13,BAIK
1-Mar-16,"Maguwoharo, Sleman",551,17,BAIK
1-Apr-16,"Maguwoharo, Sleman",146,10,BURUK
1-May-16,"Maguwoharo, Sleman",67,5,BURUK
1-Jun-16,"Maguwoharo, Sleman",230,8,BURUK
1-Jul-16,"Maguwoharo, Sleman",135,7,BURUK
1-Aug-16,"Maguwoharo, Sleman",167,8,BURUK
1-Sep-16,"Maguwoharo, Sleman",256,9,BAIK
1-Oct-16,"Maguwoharo, Sleman",281,13,BAIK
1-Nov-16,"Maguwoharo, Sleman",545,23,BAIK
1-Dec-16,"Maguwoharo, Sleman",381,13,BAIK
1-Jan-17,"Maguwoharo, Sleman",414,17,BAIK
1-Feb-17,"Maguwoharo, Sleman",364,21,BAIK
1-Mar-17,"Maguwoharo, Sleman",258,14,BAIK
1-Apr-17,"Maguwoharo, Sleman",186,13,BURUK
1-May-17,"Maguwoharo, Sleman",80,5,BURUK
1-Jun-17,"Maguwoharo, Sleman",48,3,BURUK
1-Jul-17,"Maguwoharo, Sleman",4,1,BURUK
1-Aug-17,"Maguwoharo, Sleman",0,0,BURUK
1-Sep-17,"Maguwoharo, Sleman",59,4,BURUK
1-Oct-17,"Maguwoharo, Sleman",80,10,BURUK
